Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
25025 Naut Aran;Grado de ocupación por plazas;2020M04;0,00
25025 Naut Aran;Grado de ocupación por plazas;2020M03;29,36
25025 Naut Aran;Grado de ocupación por plazas;2020M02;69,58
25025 Naut Aran;Grado de ocupación por plazas;2020M01;55,47
25025 Naut Aran;Grado de ocupación por plazas;2019M12;49,07
25025 Naut Aran;Grado de ocupación por plazas;2019M11;.
25025 Naut Aran;Grado de ocupación por plazas;2019M10;.
25025 Naut Aran;Grado de ocupación por plazas;2019M09;27,32
25025 Naut Aran;Grado de ocupación por plazas;2019M08;61,55
25025 Naut Aran;Grado de ocupación por plazas;2019M07;36,64
25025 Naut Aran;Grado de ocupación por plazas;2019M06;.
25025 Naut Aran;Grado de ocupación por plazas;2019M05;.
25025 Naut Aran;Grado de ocupación por plazas;2019M04;28,42
25025 Naut Aran;Grado de ocupación por plazas;2019M03;56,12
25025 Naut Aran;Grado de ocupación por plazas;2019M02;70,20
25025 Naut Aran;Grado de ocupación por plazas;2019M01;45,54
25025 Naut Aran;Grado de ocupación por plazas;2018M12;38,14
25025 Naut Aran;Grado de ocupación por plazas;2018M11;.
25025 Naut Aran;Grado de ocupación por plazas;2018M10;.
25025 Naut Aran;Grado de ocupación por plazas;2018M09;19,29
25025 Naut Aran;Grado de ocupación por plazas;2018M08;58,91
25025 Naut Aran;Grado de ocupación por plazas;2018M07;30,37
25025 Naut Aran;Grado de ocupación por plazas;2018M06;.
25025 Naut Aran;Grado de ocupación por plazas;2018M05;.
25025 Naut Aran;Grado de ocupación por plazas;2018M04;33,09
25025 Naut Aran;Grado de ocupación por plazas;2018M03;55,67
25025 Naut Aran;Grado de ocupación por plazas;2018M02;68,78
25025 Naut Aran;Grado de ocupación por plazas;2018M01;52,59
25043 Vall de Boí, La;Grado de ocupación por plazas;2026M02;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2026M01;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M12;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M11;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M10;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M09;35,59
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M08;60,75
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M07;52,77
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M06;38,89
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M05;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M04;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M03;52,40
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M02;67,03
25043 Vall de Boí, La;Grado de ocupación por plazas;2025M01;54,08
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M12;41,65
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M11;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M10;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M09;40,21
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M08;66,10
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M07;46,43
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M06;25,35
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M05;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M04;.
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M03;64,03
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M02;61,78
25043 Vall de Boí, La;Grado de ocupación por plazas;2024M01;46,70
25043 Vall de Boí, La;Grado de ocupación por plazas;2023M12;""
25043 Vall de Boí, La;Grado de ocupación por plazas;2023M11;""
25043 Vall de Boí, La;Grado de ocupación por plazas;2023M10;""
25043 Vall de Boí, La;Grado de ocupación por plazas;2023M09;""
